Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
2,23.0,2302.0,6.2,10,14.0
2,23.0,2302.0,10.5,15,19.0
2,23.0,2302.0,13.2,20,24.0
2,23.0,2302.0,13.3,25,29.0
2,23.0,2302.0,13.3,30,34.0
2,23.0,2302.0,12.9,35,39.0
2,23.0,2302.0,12.6,40,44.0
2,23.0,2302.0,11.8,45,49.0
2,23.0,2302.0,11.9,50,54.0
2,23.0,2302.0,11.2,55,59.0
2,23.0,2302.0,10.9,60,64.0
2,23.0,2302.0,10.1,65,69.0
2,23.0,2302.0,9.7,70,74.0
2,23.0,2302.0,7.7,75,79.0
2,23.0,2302.0,8.7,80,84.0
2,23.0,2302.0,5,85,
3,31.0,3101.0,0,0,4.0
3,31.0,3101.0,1.5,5,9.0
3,31.0,3101.0,6,10,14.0
3,31.0,3101.0,10.5,15,19.0
3,31.0,3101.0,12.9,20,24.0
3,31.0,3101.0,13.5,25,29.0
3,31.0,3101.0,13.6,30,34.0
3,31.0,3101.0,13.5,35,39.0
3,31.0,3101.0,13.1,40,44.0
3,31.0,3101.0,12.6,45,49.0
3,31.0,3101.0,12.1,50,54.0
3,31.0,3101.0,11.5,55,59.0
3,31.0,3101.0,10.7,60,64.0
3,31.0,3101.0,10.4,65,69.0
3,31.0,3101.0,9.8,70,74.0
3,31.0,3101.0,8.6,75,79.0
3,31.0,3101.0,7.6,80,84.0
3,31.0,3101.0,6.6,85,
3,31.0,3102.0,0,0,4.0
3,31.0,3102.0,1.5,5,9.0
3,31.0,3102.0,6.1,10,14.0
3,31.0,3102.0,10.5,15,19.0
3,31.0,3102.0,12.8,20,24.0
3,31.0,3102.0,13.4,25,29.0
3,31.0,3102.0,13.4,30,34.0
3,31.0,3102.0,13.2,35,39.0
3,31.0,3102.0,12.7,40,44.0
3,31.0,3102.0,12.1,45,49.0
3,31.0,3102.0,11.6,50,54.0
3,31.0,3102.0,11,55,59.0
3,31.0,3102.0,10.2,60,64.0
3,31.0,3102.0,10.3,65,69.0
3,31.0,3102.0,9.4,70,74.0
3,31.0,3102.0,8.3,75,79.0
3,31.0,3102.0,8.6,80,84.0
3,31.0,3102.0,6.8,85,
3,31.0,3103.0,0,0,4.0
3,31.0,3103.0,1.6,5,9.0
3,31.0,3103.0,6.2,10,14.0
3,31.0,3103.0,10.6,15,19.0
3,31.0,3103.0,12.6,20,24.0
3,31.0,3103.0,12.3,25,29.0
3,31.0,3103.0,12.1,30,34.0
3,31.0,3103.0,11.8,35,39.0
3,31.0,3103.0,11.2,40,44.0
3,31.0,3103.0,10.8,45,49.0
3,31.0,3103.0,10.2,50,54.0
3,31.0,3103.0,9.5,55,59.0
3,31.0,3103.0,8.4,60,64.0
3,31.0,3103.0,7.8,65,69.0
3,31.0,3103.0,7.4,70,74.0
3,31.0,3103.0,5.3,75,79.0
3,31.0,3103.0,5.2,80,84.0
3,31.0,3103.0,3.7,85,
3,32.0,3201.0,0,0,4.0
3,32.0,3201.0,1.4,5,9.0
3,32.0,3201.0,6.1,10,14.0
3,32.0,3201.0,10.4,15,19.0
3,32.0,3201.0,12.4,20,24.0
3,32.0,3201.0,13,25,29.0
3,32.0,3201.0,12.8,30,34.0
3,32.0,3201.0,12.8,35,39.0
3,32.0,3201.0,12.5,40,44.0
3,32.0,3201.0,11.6,45,49.0
3,32.0,3201.0,11.4,50,54.0
3,32.0,3201.0,10.7,55,59.0
3,32.0,3201.0,9.9,60,64.0
3,32.0,3201.0,9.7,65,69.0
3,32.0,3201.0,8.7,70,74.0
