Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
1,14.0,1404.0,45 a 49,119.0,56.0,63.0
1,14.0,1404.0,50 a 54,167.0,88.0,79.0
1,14.0,1404.0,55 a 59,153.0,74.0,79.0
1,14.0,1404.0,60 a 64,152.0,85.0,67.0
1,14.0,1404.0,65 a 69,138.0,77.0,61.0
1,14.0,1404.0,70 a 74,120.0,62.0,58.0
1,14.0,1404.0,75 a 79,99.0,52.0,47.0
1,14.0,1404.0,80 a 84,43.0,23.0,20.0
1,14.0,1404.0,85 o más,41.0,20.0,21.0
1,14.0,1405.0,0 a 4,443.0,230.0,213.0
1,14.0,1405.0,5 a 9,486.0,250.0,236.0
1,14.0,1405.0,10 a 14,564.0,294.0,270.0
1,14.0,1405.0,15 a 19,455.0,248.0,207.0
1,14.0,1405.0,20 a 24,409.0,196.0,213.0
1,14.0,1405.0,25 a 29,504.0,252.0,252.0
1,14.0,1405.0,30 a 34,484.0,214.0,270.0
1,14.0,1405.0,35 a 39,442.0,210.0,232.0
1,14.0,1405.0,40 a 44,387.0,186.0,201.0
1,14.0,1405.0,45 a 49,326.0,163.0,163.0
1,14.0,1405.0,50 a 54,299.0,133.0,166.0
1,14.0,1405.0,55 a 59,272.0,130.0,142.0
1,14.0,1405.0,60 a 64,326.0,155.0,171.0
1,14.0,1405.0,65 a 69,276.0,149.0,127.0
1,14.0,1405.0,70 a 74,243.0,126.0,117.0
1,14.0,1405.0,75 a 79,169.0,77.0,92.0
1,14.0,1405.0,80 a 84,103.0,47.0,56.0
1,14.0,1405.0,85 o más,84.0,33.0,51.0
2,21.0,2101.0,0 a 4,20474.0,10608.0,9866.0
2,21.0,2101.0,5 a 9,25978.0,13171.0,12807.0
2,21.0,2101.0,10 a 14,29358.0,14969.0,14389.0
2,21.0,2101.0,15 a 19,28660.0,14722.0,13938.0
2,21.0,2101.0,20 a 24,30845.0,15799.0,15046.0
2,21.0,2101.0,25 a 29,35764.0,18096.0,17668.0
2,21.0,2101.0,30 a 34,38130.0,19045.0,19085.0
2,21.0,2101.0,35 a 39,33816.0,16972.0,16844.0
2,21.0,2101.0,40 a 44,28840.0,14214.0,14626.0
2,21.0,2101.0,45 a 49,26320.0,12786.0,13534.0
2,21.0,2101.0,50 a 54,25190.0,12243.0,12947.0
2,21.0,2101.0,55 a 59,20075.0,9756.0,10319.0
2,21.0,2101.0,60 a 64,18587.0,8824.0,9763.0
2,21.0,2101.0,65 a 69,14582.0,6915.0,7667.0
2,21.0,2101.0,70 a 74,10148.0,4518.0,5630.0
2,21.0,2101.0,75 a 79,6642.0,2764.0,3878.0
2,21.0,2101.0,80 a 84,4233.0,1562.0,2671.0
2,21.0,2101.0,85 o más,3454.0,1015.0,2439.0
2,21.0,2102.0,0 a 4,901.0,440.0,461.0
2,21.0,2102.0,5 a 9,1242.0,641.0,601.0
2,21.0,2102.0,10 a 14,1203.0,629.0,574.0
2,21.0,2102.0,15 a 19,1007.0,532.0,475.0
2,21.0,2102.0,20 a 24,1108.0,576.0,532.0
2,21.0,2102.0,25 a 29,1229.0,591.0,638.0
