Periodo,Comuna,Cantidad_40%,Cantidad_41-50%,Cantidad_51-60%,Cantidad_61-70,Cantidad_71-80%,Cantidad_81-90%,Cantidad_91-100%,Totales_por_comuna
202309,5401,23508,3723,2842,2488,2522,3593,1341,40017
202309,5402,11777,1821,1518,1277,1394,2090,859,20736
202309,5606,4851,1101,1052,805,1012,2066,784,11671
202309,5502,31055,4135,3739,3317,4150,5788,2165,54349
202309,5701,41984,6023,5297,5105,5815,8591,3339,76154
202309,5702,8453,1202,1074,944,1114,1588,575,14950
202309,5304,9379,1543,1528,1185,1464,2512,859,18470
202309,5601,50651,8759,7740,6319,7573,9961,3611,94614
202309,5603,17585,2238,1664,1395,1373,1584,524,26363
202309,5303,5967,810,714,644,721,1266,388,10510
202309,5501,48492,7695,6896,6473,7353,10680,3803,91392
202309,5201,3238,600,662,608,809,1132,446,7495
202309,5503,11591,1733,1543,1209,1340,1652,529,19597
202309,5602,8815,1483,1163,1225,1062,2356,699,16803
202309,5604,12845,1892,1513,1338,1245,1905,642,21380
202309,5405,4428,848,836,612,650,1152,373,8899
202309,5101,154143,23166,22381,20171,23031,32857,12346,288095
202309,5403,3899,799,538,481,508,683,175,7083
202309,5102,15129,2365,2251,2100,2421,3448,1090,28804
202309,5105,13335,2038,1702,1363,1577,2548,856,23419
202309,5107,20698,2868,2432,2066,2360,3654,1326,35404
202309,5103,16137,2751,2650,2739,3183,7198,2883,37541
202309,5104,500,51,92,83,135,138,59,1058
202309,7101,109939,17667,16088,13952,16339,26065,10086,210136
202309,7102,28864,3901,3275,3129,3505,4955,1756,49385
202309,6307,7245,1154,981,750,895,1147,349,12521
202309,6308,5804,824,792,601,536,713,208,9478
202309,6115,36485,5443,4663,4192,4746,6165,1992,63686
202309,6113,12512,1960,1846,1362,1399,1753,380,21212
202309,7103,7064,870,679,498,597,712,266,10686
202309,6205,5147,699,494,483,410,778,252,8263
202309,6206,5270,578,413,314,284,565,152,7576
202309,6201,12958,2020,1605,1478,1345,2174,681,22261
202309,6202,2599,429,343,261,218,389,116,4355
202309,7104,3041,409,276,210,180,296,67,4479
202309,6302,10696,1310,1035,840,814,1052,302,16049
202309,6303,23304,3341,2760,2320,2484,2951,943,38103
202309,6304,5016,649,612,369,457,649,185,7937
202309,6305,11428,1789,1227,1169,1166,1372,443,18594
202309,7108,10360,1371,1228,908,872,1005,288,16032
202309,7109,32033,3486,3080,2503,2903,3523,1206,48734
202309,6117,28152,4403,3798,3281,3520,4833,1503,49490
202309,6301,40614,6459,5905,5256,6126,8420,2838,75618
202309,7107,5806,761,685,537,592,747,203,9331
202309,6310,24312,3507,3003,2636,2738,4034,1575,41805
202309,6203,5698,725,650,456,503,758,247,9037
202309,6309,2750,441,303,237,265,348,106,4450
202309,7105,34356,4590,3960,3452,4315,5881,2169,58723
202309,7106,6587,977,750,614,465,744,190,10327
202309,6306,7482,1303,1120,933,917,1140,316,13211
202309,6116,14584,2567,2328,2058,2341,2941,942,27761
202309,6114,8805,1236,969,862,813,1151,334,14170
202309,6204,5063,874,647,573,523,798,232,8710
202309,6112,8561,1428,1258,995,1151,1542,387,15322
202309,5703,16347,2009,1773,1573,2024,2837,1099,27662
202309,5801,72894,12417,12160,11634,13706,22239,7986,153036
202309,5704,4355,689,558,465,616,680,220,7583
202309,5705,11001,1501,1248,964,1139,1491,502,17846
202309,5706,9069,1466,1385,1018,1089,1281,412,15720
202309,6101,115179,19486,18436,18493,21948,35214,13385,242141
202309,5802,29474,4408,4090,3340,3741,5793,1997,52843
202309,5804,61098,10172,9993,9597,11062,16646,5630,124198
202309,6106,19478,2819,2695,2367,2807,4048,1315,35529
202309,6102,7343,1253,1082,1032,986,1285,447,13428
202309,6104,12614,1945,1637,1528,1467,1814,591,21596
202309,6107,17468,2608,2061,1672,1944,2276,651,28680
202309,6109,9124,1325,1049,896,905,1084,312,14695
202309,6110,15347,2452,2006,1756,2002,2491,746,26800
202309,6108,17672,2722,2587,2976,3818,10784,4112,44671
202309,5803,11909,1565,1288,1192,1118,1835,620,19527
202309,6105,11387,1931,1714,1500,1764,2511,777,21584
202309,6111,6951,1121,1132,904,954,1778,587,13427
202309,6103,4836,672,531,469,514,828,259,8109
202309,8205,17657,3212,3304,2598,2873,2932,984,33560
202309,8201,17078,2302,1983,1432,1663,2048,856,27362
202309,8104,7689,1111,811,563,698,961,283,12116
202309,8102,63337,11149,10440,8692,10515,12957,4563,121653
202309,8103,37146,6744,6286,5757,7090,10984,4136,78143
