Código región,Código provincia,Código comuna,Total de mujeres de 15 años o más,Mujeres con hijos o hijas,Mujeres sin hijos o hijas,Mujeres con fecundidad ignorada
16,163.0,16301.0,24403.0,18286.0,6044.0,73.0
16,163.0,16302.0,12374.0,9205.0,3107.0,62.0
16,163.0,16303.0,5398.0,4138.0,1250.0,10.0
16,163.0,16304.0,2204.0,1710.0,492.0,2.0
16,163.0,16305.0,6335.0,4742.0,1573.0,20.0
8,81.0,8101.0,103713.0,62727.0,40690.0,296.0
8,81.0,8102.0,52160.0,38375.0,13705.0,80.0
8,81.0,8103.0,38453.0,27010.0,11319.0,124.0
8,81.0,8104.0,5497.0,4149.0,1337.0,11.0
8,81.0,8105.0,11043.0,8137.0,2874.0,32.0
8,81.0,8106.0,17326.0,12997.0,4306.0,23.0
8,81.0,8107.0,21417.0,15490.0,5909.0,18.0
8,81.0,8108.0,63976.0,44616.0,19123.0,237.0
8,81.0,8109.0,6413.0,4728.0,1678.0,7.0
8,81.0,8110.0,64919.0,45545.0,19263.0,111.0
8,81.0,8111.0,25419.0,18489.0,6899.0,31.0
8,81.0,8112.0,39363.0,27519.0,11772.0,72.0
8,82.0,8201.0,10618.0,7930.0,2686.0,2.0
8,82.0,8202.0,15696.0,11723.0,3955.0,18.0
8,82.0,8203.0,14665.0,11051.0,3602.0,12.0
8,82.0,8204.0,2515.0,1876.0,635.0,4.0
8,82.0,8205.0,13163.0,10007.0,3145.0,11.0
8,82.0,8206.0,9123.0,6874.0,2237.0,12.0
8,82.0,8207.0,4133.0,3042.0,1091.0,0.0
8,83.0,8301.0,93493.0,68147.0,25067.0,279.0
8,83.0,8302.0,1935.0,1445.0,481.0,9.0
8,83.0,8303.0,13329.0,10122.0,3203.0,4.0
8,83.0,8304.0,10170.0,7598.0,2555.0,17.0
8,83.0,8305.0,12338.0,9242.0,3085.0,11.0
8,83.0,8306.0,10919.0,8237.0,2669.0,13.0
8,83.0,8307.0,4456.0,3400.0,1047.0,9.0
8,83.0,8308.0,1851.0,1456.0,392.0,3.0
8,83.0,8309.0,4121.0,3163.0,955.0,3.0
8,83.0,8310.0,1553.0,1170.0,382.0,1.0
8,83.0,8311.0,6030.0,4518.0,1500.0,12.0
8,83.0,8312.0,6811.0,5237.0,1559.0,15.0
8,83.0,8313.0,10004.0,7652.0,2335.0,17.0
8,83.0,8314.0,2282.0,1636.0,646.0,0.0
9,91.0,9101.0,129446.0,86413.0,42205.0,828.0
9,91.0,9102.0,10485.0,7943.0,2502.0,40.0
9,91.0,9103.0,8169.0,6169.0,1966.0,34.0
9,91.0,9104.0,3081.0,2369.0,703.0,9.0
9,91.0,9105.0,11030.0,8128.0,2854.0,48.0
9,91.0,9106.0,5144.0,3905.0,1231.0,8.0
9,91.0,9107.0,6257.0,4723.0,1519.0,15.0
9,91.0,9108.0,17665.0,12847.0,4756.0,62.0
9,91.0,9109.0,10805.0,8173.0,2576.0,56.0
9,91.0,9110.0,2879.0,2201.0,673.0,5.0
9,91.0,9111.0,14308.0,10641.0,3623.0,44.0
9,91.0,9112.0,33838.0,24351.0,9409.0,78.0
9,91.0,9113.0,3120.0,2348.0,762.0,10.0
9,91.0,9114.0,11735.0,8709.0,2962.0,64.0
9,91.0,9115.0,13538.0,9738.0,3691.0,109.0
9,91.0,9116.0,5391.0,4103.0,1268.0,20.0
9,91.0,9117.0,6474.0,5078.0,1384.0,12.0
9,91.0,9118.0,4281.0,3277.0,1003.0,1.0
9,91.0,9119.0,13150.0,9700.0,3418.0,32.0
9,91.0,9120.0,28483.0,21274.0,7053.0,156.0
9,91.0,9121.0,5315.0,3987.0,1307.0,21.0
9,92.0,9201.0,23120.0,16989.0,6008.0,123.0
9,92.0,9202.0,10332.0,7795.0,2484.0,53.0
9,92.0,9203.0,8063.0,6158.0,1884.0,21.0
9,92.0,9204.0,3192.0,2454.0,731.0,7.0
9,92.0,9205.0,4069.0,3134.0,922.0,13.0
9,92.0,9206.0,3075.0,2358.0,714.0,3.0
9,92.0,9207.0,3766.0,2870.0,885.0,11.0
9,92.0,9208.0,5264.0,4059.0,1192.0,13.0
9,92.0,9209.0,4545.0,3533.0,995.0,17.0
9,92.0,9210.0,8232.0,6241.0,1956.0,35.0
9,92.0,9211.0,14850.0,11213.0,3600.0,37.0
14,141.0,14101.0,74880.0,49865.0,24523.0,492.0
14,141.0,14102.0,2302.0,1781.0,515.0,6.0
14,141.0,14103.0,7216.0,5369.0,1820.0,27.0
14,141.0,14104.0,8886.0,6744.0,2121.0,21.0
14,141.0,14105.0,3406.0,2533.0,870.0,3.0
14,141.0,14106.0,9498.0,7081.0,2337.0,80.0
14,141.0,14107.0,8577.0,6401.0,2157.0,19.0
14,141.0,14108.0,14846.0,11268.0,3500.0,78.0
14,142.0,14201.0,16732.0,12622.0,4072.0,38.0
14,142.0,14202.0,6472.0,5001.0,1462.0,9.0
14,142.0,14203.0,4387.0,3423.0,943.0,21.0
14,142.0,14204.0,14404.0,10914.0,3462.0,28.0
10,101.0,10101.0,115271.0,80248.0,34373.0,650.0
10,101.0,10102.0,14993.0,11408.0,3560.0,25.0
10,101.0,10103.0,1726.0,1322.0,403.0,1.0
10,101.0,10104.0,5229.0,4038.0,1178.0,13.0
10,101.0,10105.0,9376.0,7039.0,2286.0,51.0
10,101.0,10106.0,7124.0,5466.0,1651.0,7.0
10,101.0,10107.0,7697.0,5677.0,1992.0,28.0
10,101.0,10108.0,6258.0,4924.0,1331.0,3.0
10,101.0,10109.0,21921.0,15447.0,6309.0,165.0
10,102.0,10201.0,20140.0,14435.0,5567.0,138.0
10,102.0,10202.0,17685.0,13265.0,4341.0,79.0
10,102.0,10203.0,6853.0,5059.0,1768.0,26.0
10,102.0,10204.0,1613.0,1165.0,446.0,2.0
10,102.0,10205.0,6200.0,4609.0,1575.0,16.0
10,102.0,10206.0,1728.0,1294.0,431.0,3.0
10,102.0,10207.0,2350.0,1776.0,572.0,2.0
10,102.0,10208.0,11361.0,8470.0,2836.0,55.0
10,102.0,10209.0,3551.0,2685.0,865.0,1.0
10,102.0,10210.0,3381.0,2543.0,832.0,6.0
10,103.0,10301.0,73065.0,52294.0,20364.0,407.0
10,103.0,10302.0,3617.0,2812.0,788.0,17.0
10,103.0,10303.0,8454.0,6448.0,1986.0,20.0
10,103.0,10304.0,4937.0,3818.0,1110.0,9.0
