Código región,Código provincia,Código comuna,Grupos de edad,Años de escolaridad promedio
3,33.0,3302.0,55 a 59,9.6
3,33.0,3302.0,60 a 64,8.5
3,33.0,3302.0,65 a 69,7.8
3,33.0,3302.0,70 a 74,7.2
3,33.0,3302.0,75 a 79,5.7
3,33.0,3302.0,80 a 84,4.9
3,33.0,3302.0,85 o más,3.4
3,33.0,3303.0,0 a 4,0
3,33.0,3303.0,5 a 9,1.5
3,33.0,3303.0,10 a 14,6
3,33.0,3303.0,15 a 19,10.5
3,33.0,3303.0,20 a 24,12.6
3,33.0,3303.0,25 a 29,13
3,33.0,3303.0,30 a 34,12.7
3,33.0,3303.0,35 a 39,12.6
3,33.0,3303.0,40 a 44,11.8
3,33.0,3303.0,45 a 49,11.3
3,33.0,3303.0,50 a 54,10.4
3,33.0,3303.0,55 a 59,9.9
3,33.0,3303.0,60 a 64,8.8
3,33.0,3303.0,65 a 69,8.3
3,33.0,3303.0,70 a 74,7.5
3,33.0,3303.0,75 a 79,5.9
3,33.0,3303.0,80 a 84,5.5
3,33.0,3303.0,85 o más,4.4
3,33.0,3304.0,0 a 4,0
3,33.0,3304.0,5 a 9,1.4
3,33.0,3304.0,10 a 14,6.1
3,33.0,3304.0,15 a 19,10.5
3,33.0,3304.0,20 a 24,12.8
3,33.0,3304.0,25 a 29,13.3
3,33.0,3304.0,30 a 34,13.4
3,33.0,3304.0,35 a 39,13.2
3,33.0,3304.0,40 a 44,12.8
3,33.0,3304.0,45 a 49,12
3,33.0,3304.0,50 a 54,11.4
3,33.0,3304.0,55 a 59,10.8
3,33.0,3304.0,60 a 64,10.2
3,33.0,3304.0,65 a 69,9.7
3,33.0,3304.0,70 a 74,8.8
3,33.0,3304.0,75 a 79,7.3
3,33.0,3304.0,80 a 84,6.6
3,33.0,3304.0,85 o más,5.6
4,41.0,4101.0,0 a 4,0
4,41.0,4101.0,5 a 9,1.5
4,41.0,4101.0,10 a 14,6
4,41.0,4101.0,15 a 19,10.7
4,41.0,4101.0,20 a 24,13.4
4,41.0,4101.0,25 a 29,14.1
4,41.0,4101.0,30 a 34,14.2
4,41.0,4101.0,35 a 39,14.2
4,41.0,4101.0,40 a 44,13.9
4,41.0,4101.0,45 a 49,13.5
4,41.0,4101.0,50 a 54,12.9
4,41.0,4101.0,55 a 59,12.1
4,41.0,4101.0,60 a 64,11.5
4,41.0,4101.0,65 a 69,11.3
4,41.0,4101.0,70 a 74,10.9
4,41.0,4101.0,75 a 79,9.9
4,41.0,4101.0,80 a 84,9
4,41.0,4101.0,85 o más,7.9
4,41.0,4102.0,0 a 4,0
4,41.0,4102.0,5 a 9,1.5
4,41.0,4102.0,10 a 14,6
4,41.0,4102.0,15 a 19,10.6
4,41.0,4102.0,20 a 24,13.3
4,41.0,4102.0,25 a 29,13.8
4,41.0,4102.0,30 a 34,13.8
4,41.0,4102.0,35 a 39,13.6
4,41.0,4102.0,40 a 44,13.3
4,41.0,4102.0,45 a 49,12.7
4,41.0,4102.0,50 a 54,12.2
4,41.0,4102.0,55 a 59,11.5
4,41.0,4102.0,60 a 64,10.9
4,41.0,4102.0,65 a 69,10.6
4,41.0,4102.0,70 a 74,10
4,41.0,4102.0,75 a 79,8.9
4,41.0,4102.0,80 a 84,8
4,41.0,4102.0,85 o más,6.8
4,41.0,4103.0,0 a 4,0
4,41.0,4103.0,5 a 9,1.5
4,41.0,4103.0,10 a 14,6.2
4,41.0,4103.0,15 a 19,10.9
4,41.0,4103.0,20 a 24,13.3
4,41.0,4103.0,25 a 29,13.5
4,41.0,4103.0,30 a 34,13.2
4,41.0,4103.0,35 a 39,12.7
4,41.0,4103.0,40 a 44,12.1
4,41.0,4103.0,45 a 49,11.2
4,41.0,4103.0,50 a 54,10.6
4,41.0,4103.0,55 a 59,10
4,41.0,4103.0,60 a 64,9.2
4,41.0,4103.0,65 a 69,8.5
4,41.0,4103.0,70 a 74,7
4,41.0,4103.0,75 a 79,6.2
4,41.0,4103.0,80 a 84,4.9
4,41.0,4103.0,85 o más,4.4
4,41.0,4104.0,0 a 4,0
4,41.0,4104.0,5 a 9,1.8
4,41.0,4104.0,10 a 14,6.3
4,41.0,4104.0,15 a 19,10.4
4,41.0,4104.0,20 a 24,12.1
4,41.0,4104.0,25 a 29,11.6
4,41.0,4104.0,30 a 34,11.8
4,41.0,4104.0,35 a 39,11.2
4,41.0,4104.0,40 a 44,10.6
4,41.0,4104.0,45 a 49,9.8
4,41.0,4104.0,50 a 54,9.3
4,41.0,4104.0,55 a 59,8.5
4,41.0,4104.0,60 a 64,8.1
4,41.0,4104.0,65 a 69,7.7
4,41.0,4104.0,70 a 74,6.9
4,41.0,4104.0,75 a 79,5.5
4,41.0,4104.0,80 a 84,4.4
4,41.0,4104.0,85 o más,2.3
4,41.0,4105.0,0 a 4,0
4,41.0,4105.0,5 a 9,1.5
4,41.0,4105.0,10 a 14,6.3
4,41.0,4105.0,15 a 19,10.6
4,41.0,4105.0,20 a 24,12.9
4,41.0,4105.0,25 a 29,13
4,41.0,4105.0,30 a 34,13
4,41.0,4105.0,35 a 39,13
4,41.0,4105.0,40 a 44,12.8
4,41.0,4105.0,45 a 49,11.6
4,41.0,4105.0,50 a 54,11
4,41.0,4105.0,55 a 59,10.4
4,41.0,4105.0,60 a 64,10.1
4,41.0,4105.0,65 a 69,10.3
4,41.0,4105.0,70 a 74,9.7
4,41.0,4105.0,75 a 79,7.7
4,41.0,4105.0,80 a 84,7.2
4,41.0,4105.0,85 o más,6.1
